name,address,postcode,indicator,postcode_used,lat,lng
McDonald's Bendemeer,"HDB Bendemeer Ville #01-01,22 Boon Keng Road, 330022",330022,McDonalds,330022,1.318003,103.861592
McDonald's Khatib,"HDB Khatib Central #01-3669,846 Yishun Ring Road, 760846",760846,McDonalds,760846,1.416772,103.834277
McDonald's Changi Airport T2,"Changi Airport Terminal 2 Unit M016-017, Mezzanine Level, Arrival Meeting ,60 Airport Boulevard, 819643",819643,McDonalds,819643,1.355322,103.988337
McDonald's Changi Airport T2Transit Lounge,"Changi Airport Terminal 2 #36-070 Departure/ Transit Lounge Central,60 Airport Boulevard, 819643",819643,McDonalds,819643,1.355322,103.988337
McDonald's Clementi Ave 3,"HDB Clementi #01-309,451 Clementi Avenue 3, 120451",120451,McDonalds,120451,1.312638,103.765669
McDonald’s Changi Airport T4,"Changi Airport Terminal 4#02-204 Level 2 Mezzanine Departure/Check-In Hall,10 Airport Boulevard, 819665",819665,McDonalds,819665,1.33854,103.9838844
McDonald’s Hougang Shell,"Shell Hougang Service Station #01-01,600 Hougang Avenue 3, 538846",538846,McDonalds,538846,1.349386,103.889993
McDonald’s @ Resorts World Sentosa,"Discovery Food Court (The Lost World) - Sentosa #B1-211 to 214,8 Sentosa Gateway, 098269",098269,McDonalds,098269,1.256752,103.820331
McDonald’s National University of Singapore,"Faculty of Engineering - National University Of Singapore (NUS)9 Engineering Drive 1, 117575",117575,McDonalds,117575,1.300259,103.770791
McDonald’s Punggol SAFRA,"Safra Punggol Clubhouse #03-05,9	 Sentul Crescent, 828654",828654,McDonalds,828654,1.352083,103.819836
McDonald’s Punggol Oasis,"Oasis Terraces #02-37/38,681	 Punggol Drive, 820681",820681,McDonalds,820681,1.352083,103.819836
McDonald's Lucky Plaza,"Lucky Plaza #B1-19 to #B1-24, #B1-44 to #B1-46,304 Orchard Road, 238863",238863,McDonalds,238863,1.30436,103.833751
McDonald’s Suntec City,"Suntec City Mall #02-732/733 ,3 Temasek Boulevard, 038983",038983,McDonalds,038983,1.295968,103.858967
McDonald's Nanyang Technological University,"Block N2.1 - Nanyang Technological University (NTU) #01-08,76 Nanyang Drive, 637331",637331,McDonalds,637331,1.34715,103.680099
McDonald's Admiralty,"HDB Admiralty Place Blk 678A (MSCP) - W94 #01-05,678A Woodlands Avenue 6, 731678",731678,McDonalds,731678,1.440493,103.801801
McDonald's Geylang East Central,"HDB Geylang East #01-01,113 Aljunied Avenue 2, 380113",380113,McDonalds,380113,1.320532,103.886013
McDonald's Hougang 8,"HDB Hougang Village #01-999,684 Hougang Avenue 8, 530684",530684,McDonalds,530684,1.373235,103.886822
McDonald's Jurong East 24,"HDB Jurong East #01-381,256 Jurong East Street 24, 600256",600256,McDonalds,600256,1.344076,103.7381879
McDonald’s Hillion Mall,"Hillion Mall # B1 – 25,17 Petir Road, 678278",678278,McDonalds,678278,1.352083,103.819836
McDonald’s Bugis Village,"151 Rochor Road, 188426",188426,McDonalds,188426,1.301204,103.855007
1 Raffles Place (1RP),"1 Raffles Place#B1-39, Shopping Podium Tower 1, Singapore 048616",048616,Gong cha,048616,1.284479,103.851082
Ang Mo Kio (AMK),"703 Ang Mo Kio Ave 3#01-2531, Singapore 560703",560703,Gong cha,560703,1.369998,103.847311
Bugis Junction (BJ),"Bugis Junction#03-08, The Victoria Street , Singapore 188021",188021,Gong cha,188021,1.299369,103.854921
Century Square (CSQ),"2 Tampines Central 5#01-39, Century Square, Singapore 529509",529509,Gong cha,529509,1.352738,103.943831
Compass One (COM),"Compass One 1#02-40/41, Sengkang Square, Singapore 545078",545078,Gong cha,545078,1.392272,103.894775
Eunos MRT (EUNOS),"30 Eunos Crescent#01-10, Eunos MRT Station, Singapore 409423",409423,Gong cha,409423,1.319782,103.902892
Marina Square (MSQ),"6 Raffles Boulevard#03-212, Singapore 039594",039594,Gong cha,039594,1.290989,103.857422
Northpoint (NP),"930 Yishun Avenue 2#01-06, North Wing of Northpoint City, Singapore 769098",769098,Gong cha,769098,1.429848,103.835554
NUS UTown (NUS),"Fine Food @ NUS UTown,1 Create Way #01-04 NUS UTown , Singapore 138602",138602,Gong cha,138602,1.352083,103.819836
Pasir Ris MRT (PRM),"10 Pasir Ris Central#01-14, Pasir Ris MRT Station, Singapore 519634",519634,Gong cha,519634,1.373013,103.949331
Plaza Sing (PZS),"68 Orchard Road#B1-K7, Plaza Singapura, Singapore 238839",238839,Gong cha,238839,1.301016,103.845411
Simei MRT (SMM),"30 Simei Street 3#01-04, Simei MRT Station , Singapore 529888",529888,Gong cha,529888,1.342977,103.953583
Singpost (SP),"10 Eunos Road 8#01-141A/141B, Singapore Post Centre, Singapore 408600",408600,Gong cha,408600,1.319291,103.894819
SMU café 2.0 (SMU),"50 Stamford Road#01-01, Lee Kong Chian of Business, Singapore 178899",178899,Gong cha,178899,1.294866,103.850259
Takashimaya(TAKA),"391A Orchard Road#B2 08-7, Takashimaya Department Store, Singapore 238873",238873,Gong cha,238873,1.302707,103.834289
Tan Tock Seng Hospital (TTSH),"16 Jalan Tan Tock Seng#B1-03, Tan Tock Seng Hospital, Singapore 308442",308442,Gong cha,308442,1.352083,103.819836
Toa Payoh (TPY),"Blk 190 Lorong 6 Toa Payoh #01-546, Singapore 310190",310190,Gong cha,310190,1.332654,103.84942
Westgate (WG),"3 Gateway Drive#02-27, Westgate, Singapore 608532",608532,Gong cha,608532,1.352083,103.819836
Woodlands MRT (WLM),"30 WoodlandsAvenue 2 #01-40, Woodlands MRT Station, Singapore 738343",738343,Gong cha,738343,1.437284,103.787152
